"Timestamp","In which State/UT do you currently live?","What is your age?","Please select your gender.","How would you describe your occupation?","How many earning members are there in your immediate family?","What is your annual household income (in rupees ₹)?","How has your overall household income changed during COVID-19?","Do you or your family have any pending loan(s)?","Did you or anyone in your family get infected by COVID-19?","Did you get vaccinated for COVID-19?","Do you have any health issue(s)? (If more than one, then please select your major health issue)","How often do you exercise or meditate?","How has COVID-19 impacted your life and future plans/goals?","During lockdown, how often do you interact (on calls/chats) with your relatives & friends?","How has your appetite changed during the lockdown?","How have your sleeping hours been affected due to the lockdown?","How satisfied are you with your state government's measures to handle COVID-19?","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt scared without any good reason]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I was close to a panic attack]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced dryness of my mouth]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced breathing difficulty (without any physical exertion)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced trembling (e.g. in the hands)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Worried about situations in which I might make a fool of myself]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Increase in heart rate without any physical exertion]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I didn't experience any positive feeling at all]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to take the initiative to do things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I had nothing to look forward to]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt down-hearted and blue]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was unable to feel enthusiastic about anything]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I wasn’t worth much as a person]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that life was meaningless]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it hard to take things easily]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I tended to over-react to situations]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I was nervous ]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found myself getting agitated]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to relax]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was generally intolerant of things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt unusually sensitive ]","During the past one month, which of the following have you experienced the most?"
"2021/05/22 3:11:51 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","2","10 - 20 lakhs","No change","Yes","Yes","No","No major health problem","Not at all","Small Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","3","0","2","0","0","0","0","2","2","3","2","2","2","1","1","2","2","1","2","2","1","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 3:14:54 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","3 or more","10 - 20 lakhs","No change","No","No","No","No major health problem","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","3","1","1","0","1","1","2","2","3","2","2","2","1","0","1","1","0","1","0","2","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 3:20:12 PM GMT+5:30","Delhi","18 - 25 years old","Male","Unemployed","3 or more","More than 20 lakhs","Increased significantly","Yes","Yes","Yes","No major health problem","Ocassionally","Small Impact","Ocassionally","Decreased slightly","Decreased slightly","1","2","0","1","1","0","1","0","3","1","1","1","1","1","0","2","2","2","2","1","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 3:29:28 PM GMT+5:30","Punjab","18 - 25 years old","Female","Private Sector Employee","2","5 - 10 lakhs","No change","No","No","Yes","No major health problem","Ocassionally","Small Impact","Ocassionally","No change","Decreased significantly","2","2","3","1","1","0","1","2","1","2","0","0","2","0","0","1","2","1","2","2","2","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 3:32:10 PM GMT+5:30","Uttarakhand","18 - 25 years old","Female","Private Sector Employee","2","10 - 20 lakhs","No change","No","Yes","No","No major health problem","Not at all","No Impact","Ocassionally","No change","No change","3","0","0","2","3","3","3","1","2","0","2","0","0","0","0","0","3","3","1","3","1","3","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 3:32:24 PM GMT+5:30","Delhi","16 - 18 years old","Male","Student","1","Less than 5 lakhs","Decreased significantly","No","No","No","No major health problem","Ocassionally","Major Impact","Ocassionally","Increased slightly","Increased slightly","2","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 3:37:10 PM GMT+5:30","Delhi","18 - 25 years old","Male","Unemployed","2","10 - 20 lakhs","No change","No","Yes","No","No major health problem","Not at all","Considerable Impact","Almost all the time/ Every day","Decreased slightly","Increased sigificantly","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 3:37:11 PM GMT+5:30","Punjab","18 - 25 years old","Female","Private Sector Employee","1","Less than 5 lakhs","Decreased significantly","Yes","Yes","No","Blood Pressure","Atleast 3 days a week","Major Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","1","3","3","3","2","2","2","2","2","3","3","2","3","3","3","3","3","3","3","3","3","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 3:39:47 PM GMT+5:30","Delhi","45+ years old","Male","Government Employee","2","5 - 10 lakhs","No change","No","Yes","Yes","No major health problem","Ocassionally","Small Impact","Ocassionally","Decreased slightly","Decreased significantly","1","3","1","2","0","0","3","1","1","1","1","2","2","1","1","2","1","1","1","2","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 3:40:10 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","2","5 - 10 lakhs","No change","No","No","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Increased significantly","Increased sigificantly","1","0","1","0","0","0","2","0","1","1","0","1","1","0","0","2","0","2","0","1","0","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
